question,precision@k,recall@k,mrr,ndcg@k,ap@k,retrieval_time,input_tokens,retrieved_docs,relevant_docs
Quali sono le avvertenze e le criticità del progetto?,0.2,1.0,0.25,0.4306765580733929,1.0,0.21602584421634674,2,"['f46491a2ea6c164e163d4f2d63f59eb648635d8195539746bf6bd53d7115c2f3', '770f7b9e294d11d912d0f5648de2be3fd29f09a84f60a84e87d65bd24bbfe419', '4469b39376fbe3416838c75378e7b2e3230ca54219c7c3257776db1357fb9a65', 'a0daa93414e756b339f0657407af020ff69a5fb91293df8740e6c82604ba4cac', 'e4c9dd466eb640ea6e71b108ef40aa50d503fe0e55704db197931ea4af8075be']",['a0daa93414e756b339f0657407af020ff69a5fb91293df8740e6c82604ba4cac']
Quali sono i campi e i sottocampi del MOSI e come vanno compilati?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['f71e6ca3ff5f69653edb6dacc5dc124cdbd1b4a7f845ec159302f2d504159d7e', 'cac6172a087154b6a2ef2f602ba3033b797e4e76d0bca3429857b3873d03efd3', 'c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe', '782ebd93b9edd41fab7f1c18f9114358a57c498bf9552ab986b49077cc49dc0a', 'c0332c2d1773ce9ca49a2f6bb46d5d17b343cb4ecbce8e7eb2f6cb66476a6302']",['0352bf32f2a80a0507b658e7b4140427a1e0c7f27557b42beb5c220525452951']
Quali sono le brevi note su QGIS?,0.2,1.0,0.3333333333333333,0.5,1.0,0.21602584421634674,2,"['8eb9dc2f7ac620a24fa1a3180aa924ad75733b0087b91f767b9ade07e5d51086', '1f84993d195013c6c3fdfde80c49c0d9b632aafb9ae661d3d825b6981f8b3b65', '5ecef36c906a71074ba3a1f32c2dde7ff18f02298643950b33ee182ccb475e76', 'b319d2a127c2453be15158234bdbb2ad8ba93b02d054cf6211673eced220da47', '04d0f385306fe63e69fdcf447bd306d8e83e59a1d489bb56ffc344a8ab6ece5f']",['5ecef36c906a71074ba3a1f32c2dde7ff18f02298643950b33ee182ccb475e76']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['d18e4e5b07c3a6b0b8fdc24dc7807ac4d9e39901f99c78a2fc93a6421e74230b']
Come si compilano i MOPR nel Geoportale Nazionale Archeologia?,0.2,1.0,0.5,0.6309297535714573,1.0,0.21602584421634674,2,"['6c5c1af0567b412b3dd4ed657efe1820b14d74df1cd2a8d0101805ca1b658b4b', 'c734caacd58a1ccaf3ff8fa855925c88245d2cb43a8a8d761e119d9a98ef67a7', '3ae504f98a39d0139ed9e37d400d88dcae71737c21afd1800d03c8ffcaf248d5', 'a65723124f538df1f5ffff2245217e8a95663daf5bd9f63d88f824e0a71443af', '4df3a35f91d34db04a742b177444dd2b7fa41176060b140a37e45b9316f44e87']",['c734caacd58a1ccaf3ff8fa855925c88245d2cb43a8a8d761e119d9a98ef67a7']
Qual è la rappresentazione grafica utilizzata per indicare l'area vasta interessata dalle indagini di scavo/non invasive oppure dalla ricerca/studio territoriale nel Geoportale Nazionale Archeologia (GNA)?,0.2,1.0,1.0,1.0,1.0,0.21602584421634674,2,"['b1acfdf407952ea473d5febb21b87e2e4d73a0987b749ebcac938878f6bed896', '347611b33d76adb1305b3f34e616e566afeffc5ab00e6ee3dc2559d93c938207', '5cc4c073ee528d3137ed164c06b571d9ea2ae31d170cafd0c9e37b5d3302adca', '4df3a35f91d34db04a742b177444dd2b7fa41176060b140a37e45b9316f44e87', '38401a4164cb6b571e2a5ccd7448c33a553b78a60f4888e40b05f8c6f574dc5d']",['b1acfdf407952ea473d5febb21b87e2e4d73a0987b749ebcac938878f6bed896']
Come si crea un Authority file DSC in SiGECweb?,0.2,1.0,1.0,1.0,1.0,0.21602584421634674,2,"['7545a7d8079565d1d0b0745a73b20de76bd93020931f91e0379b9d832fc5b7bd', '4d12384461db859b9aa3c6daca293436a04d60805c0487832da20f68da8e2cb0', 'd73825a56818bd7b3135a6521d444697508ab5e3bd793c827f80c0125e58cad1', 'ff3b55a086d38e1e2723a6b81a0684c84381087b9afe9d99a25604e178bb26cd', '996fd60d994db30f15b222f06cabe16715b823f2688597c3bf52286d27ef70bc']",['7545a7d8079565d1d0b0745a73b20de76bd93020931f91e0379b9d832fc5b7bd']
Qual è l'utilizzo del layer Scavi nel contesto della redazione di una carta archeologica?,0.2,1.0,1.0,1.0,1.0,0.21602584421634674,2,"['bd7640f023acee6be4807d7a631a9c61d47f08443d9d21c671c9a4daa5004f56', 'dfb9e3c8c40c9633438e030063761efcbe10792d4b5869a7c005327f84c18201', '2307032e12f70a83717fe28eedd0d26ccc1b7bc6c9bdd5220588a6508dc2bfa5', '5b1c01b2e22df87e58856e03f0e5aacc4221daecec68b8981216bff337823b02', '51013404b4eeb46497d9ac8d36422067e1b479207a451eb9d332b0e16595405e']",['bd7640f023acee6be4807d7a631a9c61d47f08443d9d21c671c9a4daa5004f56']
Qual è la procedura per utilizzare il plugin Freehand raster georeferencer in QGIS per la georeferenziazione speditiva di pdf progettuali?,0.2,1.0,0.5,0.6309297535714573,1.0,0.21602584421634674,2,"['d3ee530212535d9ddd7e38484f89d6e17c3ccad70ccb71314c4d94e7de79ab5b', '5294cebf136e31b93c52059a4b975dab1d44abaa704b23078f7e60dccc82f2c8', '0b33e4ae55f934d7c47aa23745b8a18e3b94713adc65d9707c756e8c5eb5cd57', 'ce7b79c89b4720dcbf3c668476d1f58802cf308ff77f01820bd81058174ebf1e', 'c5b5bb45cf42e5f4cfd978e7f3360c82a3755767a4bde2af511b4b9e2900fba1']",['5294cebf136e31b93c52059a4b975dab1d44abaa704b23078f7e60dccc82f2c8']
Quali sono le dimensioni minime per utilizzare un DSC multipolygon invece di un DSC puntuale o lineare?,0.2,1.0,0.25,0.4306765580733929,1.0,0.21602584421634674,2,"['bd39f26a257ac93789f4a319e452299e86cd44a59fc0b744406085e95b3d90c9', '2aa897337b28bfa3814e466a9cc0cf7bc375593e6930eb161022e6b03f4b19b5', '1c6de0d5ca33d03a880c99271ec16a6281ebb22bd037549c2051015cdbf7cc10', '0236cb590e7e8f3baa51db0d30b91276554e6d7c3c893740a1fcf0c269394c40', 'c5819a8e8ae569fcc45a66a3c4885e5898881ed4413ad0aa60c815271667b256']",['0236cb590e7e8f3baa51db0d30b91276554e6d7c3c893740a1fcf0c269394c40']
Quali sono le sezioni del MOSI?,0.2,1.0,0.25,0.4306765580733929,1.0,0.21602584421634674,2,"['05242caa142726d8b874b1edf14851f8e1ab260edce890faed60b02f880f8d3a', '31bc54743355f3ea56c79bcc7087424d2e7775e92638cc1bd138769c040c888e', '7bb896a551822ff6c650223163c626088cad6e0cf7f21b400c8a87fcdd6b103a', 'cac6172a087154b6a2ef2f602ba3033b797e4e76d0bca3429857b3873d03efd3', 'c4673f9f237fcfef802d9390d9b3a4dbf2e687541799b46f1d8ca5e276fd9405']",['cac6172a087154b6a2ef2f602ba3033b797e4e76d0bca3429857b3873d03efd3']
Quali sono i dati che vengono stampati per un sito nel Catalogo dei siti del Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['5cc4c073ee528d3137ed164c06b571d9ea2ae31d170cafd0c9e37b5d3302adca', 'b985b4f5d1c3ae07372d9d10a0b5b1eef0d2db0fd052fbb14ce6c0566390e145', '0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1', '1213510cce0fb55391aa5e9e3d11ed51a76505799cf1bb8de403e7480c476f1b', '4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40']",['8cf3c39ca15da759eef6a652352fc7b1eadaf025b1ac14ae69d3e9a912dcb0cb']
Qual è lo scopo del template GIS descritto nel testo?,0.2,1.0,1.0,1.0,1.0,0.21602584421634674,2,"['016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2', 'e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9', '773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d', '2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1', '88bc90289061bc6060aa0167bc177f4061a2d5882ea59277cbc241f19a399f14']",['016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2']
Come si aggiunge il Repository GNA al MOPR?,0.2,1.0,0.25,0.4306765580733929,1.0,0.21602584421634674,2,"['873d010a106ec69526b7ab3cfed87e740b728904adfe4acf8769a0ce36900cde', '5177f61d4c7c13621a010e4b9b0452ddccfdda74057471eba7170519f3d08661', 'd64c1485b05b73bbb3e6d37cfd6c6acf6cf8533721c7fe545fa6e9762b719a3a', 'c152a05cc7c606edf49d2a04100f8de211f45aed79062564412d01418ac57d37', '7d7b6c3b25bd9f6a3cc02b3e2b678251b84e268234c5e542e04b12937bec7b20']",['c152a05cc7c606edf49d2a04100f8de211f45aed79062564412d01418ac57d37']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['18cfdc3a2929f8b18db1be9ca911445e164da80fc6d497d14c760e88f4e1c0f5']
Quali sono le brevi note su QGIS?,0.2,1.0,0.5,0.6309297535714573,1.0,0.21602584421634674,2,"['8eb9dc2f7ac620a24fa1a3180aa924ad75733b0087b91f767b9ade07e5d51086', '1f84993d195013c6c3fdfde80c49c0d9b632aafb9ae661d3d825b6981f8b3b65', '5ecef36c906a71074ba3a1f32c2dde7ff18f02298643950b33ee182ccb475e76', 'b319d2a127c2453be15158234bdbb2ad8ba93b02d054cf6211673eced220da47', '04d0f385306fe63e69fdcf447bd306d8e83e59a1d489bb56ffc344a8ab6ece5f']",['1f84993d195013c6c3fdfde80c49c0d9b632aafb9ae661d3d825b6981f8b3b65']
Come posso stampare la carta del rischio (VRD) in modo da visualizzare più aree di rischio in una singola pagina?,0.2,1.0,0.25,0.4306765580733929,1.0,0.21602584421634674,2,"['ac7ab8add28d46bcd3961d3ce4af32f14dcf6e5368ee5f1b4aece8aff06c9b7a', '1a5047c43f73e3a811866b8dafd8513467ca99b4e21d6fc72a8ee72496f4cf12', '1f377c1768dbd865d31682da62060320752ca2965981ea5db0e538031ebb5ec5', 'c5fa2db05abe3d0565b8372f38652b9653d3230b7ae88b310c3495ed52a361c3', '1019df724f2a78c9231135e79bb0502e02dbaca5ecc3216544f65dc7d92f04dc']",['c5fa2db05abe3d0565b8372f38652b9653d3230b7ae88b310c3495ed52a361c3']
Quali sono gli algoritmi di trasformazione più utilizzati in QGIS per i raster?,0.2,1.0,1.0,1.0,1.0,0.21602584421634674,2,"['cf82209ccfe3ba16416cb476334299d167c7b156500bdb3e72cab0801a6cec63', 'a7b756e4bbd6e51cc94085f936e53618496e50f41adfdd87af96b378a14426c1', '27eaacbc094b60c959317afb179e5f4873222fac2bc1299ce095a0c5de2f1c13', '60b6a0a769575b5cb59b0fcb30850bab29a8d3cc8a48ead2c2b4cc601cebe687', 'af2ef0b237ac1c66a852ea8d46b82b4b8595d3ae9d775e5b4ea3f10fe8f8c078']",['cf82209ccfe3ba16416cb476334299d167c7b156500bdb3e72cab0801a6cec63']
Qual è il primo passo da fare dopo aver inserito i punti di georeferenziazione in QGIS?,0.2,1.0,0.3333333333333333,0.5,1.0,0.21602584421634674,2,"['0ee6450c1efaba2a57123eed1e3e7aa038f87e040b09bada6f07074854465d1d', 'f7543e984f7c5606a6e403627342d8c2c9d007c22e8b86bc1efb94641607c865', '8960616d0cefab4e97eb5251fdfbd5a4f25a40b70f20ef5086697b7cfa66621d', 'b3ad85e650a287ae65c387e2dc7c7f6b02ce7b5ab32a09c8ef931fc1865c4cfb', 'ee904f8a2c07d6726da507e11a4a490511db6a8a4fc0fe578c787893f893eb23']",['8960616d0cefab4e97eb5251fdfbd5a4f25a40b70f20ef5086697b7cfa66621d']
Quali sono le informazioni necessarie per compilare il MOSI nel contesto del Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['b985b4f5d1c3ae07372d9d10a0b5b1eef0d2db0fd052fbb14ce6c0566390e145', 'cac6172a087154b6a2ef2f602ba3033b797e4e76d0bca3429857b3873d03efd3', '1b35cea964befb70a78e4768165a7399adff58a8115a2fab259adf2f09f08019', '079e8ea711ecf29ad67d0ba78e2e324c44d594f769dd5c0b11475ff3e4e8d1dd', '92a2809703ba08b33771db905cb77df0d8a2fe6f6606a3463a34be6db997f9f5']",['c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe']
Qual è il comando utile in QGIS per scalare un'immagine partendo da due punti noti?,0.2,1.0,1.0,1.0,1.0,0.21602584421634674,2,"['d17830a55901ddd8e6e2c177cfec098af9e0093190098f7510dde163454798d3', '1dce06ad852864cbdff68842ceb2cfae293fb2b5a6960979b84ae2bd7f027174', 'c21674ab8dc8a7f1450ab849af9aafd488a6bd5044c6c2bcc689b6143923bd4f', '9385f2c70877a104b0c04af8291689185b5626989385bf1467f754b16af1c4e3', 'ce7b79c89b4720dcbf3c668476d1f58802cf308ff77f01820bd81058174ebf1e']",['d17830a55901ddd8e6e2c177cfec098af9e0093190098f7510dde163454798d3']
Quali sono le brevi note su QGIS?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['8eb9dc2f7ac620a24fa1a3180aa924ad75733b0087b91f767b9ade07e5d51086', '1f84993d195013c6c3fdfde80c49c0d9b632aafb9ae661d3d825b6981f8b3b65', '5ecef36c906a71074ba3a1f32c2dde7ff18f02298643950b33ee182ccb475e76', 'b319d2a127c2453be15158234bdbb2ad8ba93b02d054cf6211673eced220da47', '04d0f385306fe63e69fdcf447bd306d8e83e59a1d489bb56ffc344a8ab6ece5f']",['b0dcc117c7801fa5391e9904aeac76334130fdca068aab8120503392aeaba4f2']
Quali sono le unità amministrative che possono essere visualizzate nel Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40', '0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1', '824d36238aae25e66224527386dfdf9ddc0b23d94c65e47daa866585d5f3d96a', '1213510cce0fb55391aa5e9e3d11ed51a76505799cf1bb8de403e7480c476f1b', '2c528252d9c1d782b1496ce5c15dfbf1bd991c00d2103d3e2ed4ade69df5d2fe']",['7bde7152c274b8fed6bdafd34cf27cafe23ed0c07c5046c5a57b6264e5d8e97d']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['d32465da33b96e8ea7673d807010bbd66ca374f717418b5031e27ea9ea3e983a']
Quali sono i dati da inserire nel MOPR e in che modo?,0.0,0.0,0.0,0.0,0.0,0.21602584421634674,2,"['c17f314cc8976fb204ec20b915a9698a41289ec03175f1a2c2daa4512c960110', '455c83356b68a4a540976177d642b16c6fdef7d3c541c051cb865cc0e3e197fc', 'c601a0de5921bab207773c81f7ed8309ffaf6f91f897aafe00f0b7a9c3bae102', '251e7e2f835cde8e903b96878399b96b02e9dce51036aa145a185ede747162ea', 'ed02055715b9190f54137b4a04f5ba744d9fcbcd242e1e0104b28535ab72e112']",['cf8b8b807abc85c2fa04f158db2a1e4d2c794e030aa14df84a5100e9ee795b69']
Come posso visualizzare il risultato delle istruzioni HTML in QGIS?,0.2,1.0,0.5,0.6309297535714573,1.0,0.21602584421634674,2,"['3f388678466d42d4c3b8dbe732050bf12fcc52a92325d8b68a3a46642d3e884e', 'e8bc592bd7263c09aff3743fae2c233064a455dcc1fb7db229f3edb4bcfc6dc1', '5573317cc1520b8723f3982473cd381a8161528114a3f583b14770efd0727c46', 'b0dcc117c7801fa5391e9904aeac76334130fdca068aab8120503392aeaba4f2', '9d11392985924ec4649ba075058195e09762d9dc8b2816ba7a37c0354af31414']",['e8bc592bd7263c09aff3743fae2c233064a455dcc1fb7db229f3edb4bcfc6dc1']
Come posso accedere al manuale del progetto direttamente dal template?,0.2,1.0,0.3333333333333333,0.5,1.0,0.1775137335062027,2,"['57e24ec1bec7bf55fc1c8b38a5f71f3b74a213470be0f25e0f62c13e3c365257', '1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42', '4e2474ac3cb4c2409bd5686405d6470b4e6c52ec671ab7d3286d32ba99a50dc8', 'dffc31beca5c0c116df07e1113f3a66b48b9031869525da0c0d4413390cd29ca', '773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d']",['4e2474ac3cb4c2409bd5686405d6470b4e6c52ec671ab7d3286d32ba99a50dc8']
Come stampare i MOSI (Catalogo dei siti) nel Geoportale Nazionale Archeologia?,0.2,1.0,0.2,0.38685280723454163,1.0,0.1775137335062027,2,"['6bf9350a645455b87777fa698745cd746f07906535a58fca21157eeba53b17ef', '421aae735a5464218992e6bdcad53649aa8765827f8b2e31810f53c3fe22598f', 'bc7ce40aad15905c4aaaa383849d93fcd7d272ec51aa66bea4d7122d80bea8f3', 'b67cb9386b2814b53207fef5cb69ba14a60f1522a88a8adebe6a36254c5e7c9a', '4f7c93bd66a0188abe7a180128e15b24204b025535d3e52f4a050973c8cc6bdd']",['4f7c93bd66a0188abe7a180128e15b24204b025535d3e52f4a050973c8cc6bdd']
Quali sono i diversi tipi di MOSI previsti nel progetto e come differiscono tra loro?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['c4673f9f237fcfef802d9390d9b3a4dbf2e687541799b46f1d8ca5e276fd9405', '05242caa142726d8b874b1edf14851f8e1ab260edce890faed60b02f880f8d3a', '31bc54743355f3ea56c79bcc7087424d2e7775e92638cc1bd138769c040c888e', 'c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe', '830b11f0df62149799e2d4594ac111ff407f18dbed19fdd5f9466c2946e2be2d']",['c4673f9f237fcfef802d9390d9b3a4dbf2e687541799b46f1d8ca5e276fd9405']
Quali sono i campi e i sottocampi del MOSI per la localizzazione e le quote?,0.2,1.0,0.3333333333333333,0.5,1.0,0.1775137335062027,2,"['81e0ab19e8ee92a435ccdc65a22d66422c38eb26580667e7f58b43f0ebb907c8', 'dcb5e901abe027ed1b72a141fd5f4e50dfb0e6aad9573d51ee142c4e1ac06d20', 'c0332c2d1773ce9ca49a2f6bb46d5d17b343cb4ecbce8e7eb2f6cb66476a6302', 'cac6172a087154b6a2ef2f602ba3033b797e4e76d0bca3429857b3873d03efd3', '0a26e9096d33980d12b9437cbd6fd1e7bf0854a298b908473c28a0c234e3e1de']",['c0332c2d1773ce9ca49a2f6bb46d5d17b343cb4ecbce8e7eb2f6cb66476a6302']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.1775137335062027,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['3e4c3865a2f8c5413c2417c281451d1f9c29aeb14db2b5f53c172068ef265552']
Qual è la differenza tra il MOPR e il MOPR GENERICO?,0.2,1.0,0.25,0.4306765580733929,1.0,0.1775137335062027,2,"['703881b631a886ac7637b8440bba8e5d5d91b6a0abd5a73c4a067133f7ad8d16', '8494d87e433008031c5f92170c0127c03f8c8421274777a9c4960849a2b158ce', '754bbfed40f002057ae6c1308a67ad8ec245e359933671cbbe0432aedf69c181', '1cb8c47199d27f2c13d8b16b743318aedecee12141c3b31e4954d5a31c2bb7b5', 'b1acfdf407952ea473d5febb21b87e2e4d73a0987b749ebcac938878f6bed896']",['1cb8c47199d27f2c13d8b16b743318aedecee12141c3b31e4954d5a31c2bb7b5']
Qual è la simbologia utilizzata per attivare la scala di grigi in QGIS?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['ed87627d23bb1e45f3fc33a1f6308c672dd8238d4ea0261ecfc943e4f6bf6f56', 'fc9314c51346033f44023665002da8b9e28b2df636dd475e46d72516d4673203', '816cb323d04d5019e94715758b553173b21637b8aa7579a560024234415cc784', '9269a8af27f07b55d7ea04116fdaee86db0a31368a5dd86858805680b9a6e31a', 'd17830a55901ddd8e6e2c177cfec098af9e0093190098f7510dde163454798d3']",['ed87627d23bb1e45f3fc33a1f6308c672dd8238d4ea0261ecfc943e4f6bf6f56']
Qual è la procedura per scalare un'immagine in QGIS partendo da due punti noti?,0.2,1.0,0.5,0.6309297535714573,1.0,0.1775137335062027,2,"['d17830a55901ddd8e6e2c177cfec098af9e0093190098f7510dde163454798d3', 'c21674ab8dc8a7f1450ab849af9aafd488a6bd5044c6c2bcc689b6143923bd4f', '1dce06ad852864cbdff68842ceb2cfae293fb2b5a6960979b84ae2bd7f027174', '9385f2c70877a104b0c04af8291689185b5626989385bf1467f754b16af1c4e3', 'fc9314c51346033f44023665002da8b9e28b2df636dd475e46d72516d4673203']",['c21674ab8dc8a7f1450ab849af9aafd488a6bd5044c6c2bcc689b6143923bd4f']
Qual è la licenza utilizzata per i dati pubblicati sul Geoportale Nazionale dell'Archeologia?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40', '7dcfc39a3bb1c97d982a3047d4c7ee6e808ac8fe15d020c1bcda2b30ab19d9da', '715d5796006cf2b54b54a49067a574bb2eb11b60f772dc864285d8eb4d0c4673', 'b985b4f5d1c3ae07372d9d10a0b5b1eef0d2db0fd052fbb14ce6c0566390e145', '1213510cce0fb55391aa5e9e3d11ed51a76505799cf1bb8de403e7480c476f1b']",['4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40']
Qual è il modo per importare un file DWG/DXF in QGIS?,0.0,0.0,0.0,0.0,0.0,0.1775137335062027,2,"['f17fd5d9efa75603abaf7c456c0cfc1a50919c0d31102571f09d3fe822c803da', 'cb9cfef995d2e7863052482a1bf6d78b7ba8d5d723628b5b31080d726f24fa6b', 'c9fd320e76adcaa7984aea91f68f4c076539ae03753a4205df5d2cec18732085', 'f6dbe5dbfa501a3c29fdb164ee8ee204845f6c5b07c504bff455fab407794c2d', '9c4f9e19daec2819d5558df9bfa64f4bd7079d462ca9cdcb83a86a8858c0ecf1']",['4165d82a8a4dfba5715624f7d31f9fc9aa8f8d0c0d345b1ca1a5c91f70ead23c']
Come posso riutilizzare vecchi MOSI in un nuovo progetto nel Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.1775137335062027,2,"['b985b4f5d1c3ae07372d9d10a0b5b1eef0d2db0fd052fbb14ce6c0566390e145', '1b35cea964befb70a78e4768165a7399adff58a8115a2fab259adf2f09f08019', '8d64cd4b8858d806e70371292278305f5b1852362397fd2705b303ce831d90b4', '66ca28275a4e2dc4b7c3d8ab8dcf145a00b38d952fe62c62389b788aaabac406', 'c734caacd58a1ccaf3ff8fa855925c88245d2cb43a8a8d761e119d9a98ef67a7']",['830b11f0df62149799e2d4594ac111ff407f18dbed19fdd5f9466c2946e2be2d']
Quali sono i casi d'uso per un sito pluristratificato scavato integralmente?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['bde51ab31a320e1569a806b38d23c695e800ac5554af20e16c2cc82fe484718a', 'b4d95f5be000f541669c491d4412d01606d5b97bb3cecd83f9828bc09bf7f7b1', 'b91a111ca7a0416904906b5ba37c756ccec7a62f8f970ecf721462a654e44fe0', '9fc76dc92aadad25af50576dc0e0772b9ffddaaa19d00c7579409f89b0f83e55', 'db6e46ba925a17a3ab90a02ba9b091fbdb44dbeaaa02046976e834ad6ab25d9c']",['bde51ab31a320e1569a806b38d23c695e800ac5554af20e16c2cc82fe484718a']
Quali informazioni sono state utilizzate per ricostruire le competenze a livello comunale nel progetto?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['0d80d843589f9065a5b044719f1846f25dbf0449b167227946d6dc316085a0fe', '5cec8a15ce35b302ca7f5aa49c04aec3229a5f81b3ac65487539a09e41e40c6c', 'f2154e8741a75791d81c57fe3bf2632bc424279259f33f0fa4116efabf245ca8', '96be80a8f93ae40a310fdc78ae24d3393194727389544894fa8343b01d3c04f9', '6fdf4d40d2a457dcf0341049b6ad8a62bec7763a909180fd63bd868eb8583a6c']",['0d80d843589f9065a5b044719f1846f25dbf0449b167227946d6dc316085a0fe']
Qual è la struttura del template utilizzato per raccogliere dati nel progetto GNA?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d', '016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2', 'e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9', '2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1', '1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42']",['773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d']
Quali sono le fonti informative utilizzate per censire i documenti nel progetto?,0.2,1.0,1.0,1.0,1.0,0.1775137335062027,2,"['9e6e21aba32bc0c87b24e2d155fe1b1a02c919a0e43de01dbd9995d43b58bced', '3c3169316257ddae4c2d81d14ce759d8c3b4847e3cb423d36d26b25b967e44ed', '455c83356b68a4a540976177d642b16c6fdef7d3c541c051cb865cc0e3e197fc', '923251ed120cad2d844ecbe56fa853f3f839e84af228d5f7fcd4ca3758942345', 'c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe']",['9e6e21aba32bc0c87b24e2d155fe1b1a02c919a0e43de01dbd9995d43b58bced']
